timestamp,offset_segundos,usuario,nome,sentimento,confianca,comentario
0:42,42,maxionvermilione,maxionvermilione,neutro,1.0,Opa
0:44,44,alpharius_456,Alpharius_456,neutro,1.0,a frequencia voltou msm
0:44,44,atereza01,atereza01,engraçado,1.0,atereza01 subscribed at Tier 1. They've subscribed for 35 months! oiiiii
0:45,45,kthyosu,kthyosu,positivo,1.0,bom dia
0:47,47,yurifukuhara,yurifukuhara,positivo,1.0,Boa Baka!!!
0:47,47,p0lar_666,p0lar_666,neutro,1.0,DinoDance
0:48,48,shisui_baby,shisui_baby,neutro,1.0,Aooba bakagayzin
0:49,49,atereza01,atereza01,neutro,1.0,qt tempo
0:49,49,aizenr6ss,aizenr6ss,neutro,1.0,opa
0:50,50,devcurumin,DevCurumin,neutro,1.0,Bajaaaaaa
0:53,53,martebrasil,martebrasil,positivo,1.0,Bom diaaaaaa
0:55,55,pablovisilva,pablovisilva,positivo,1.0,Bom dia rapaziada
0:57,57,zeidrel1025,zeidrel1025,confuso,1.0,pq ele voltou pra cá ?
0:59,59,devcurumin,DevCurumin,neutro,1.0,Coe baka
1:02,62,aizenr6ss,aizenr6ss,neutro,1.0,guei
1:02,62,nando_wk,nando_wk,neutro,1.0,Baka achou o Zé gotinha
1:02,62,xdraphael1996,xdraphael1996,positivo,1.0,oiiiiiieeeeee gostosos
1:07,67,alpharius_456,Alpharius_456,positivo,1.0,salve rapaziada
1:08,68,iceraptron,iceraptron,neutro,1.0,iae logo cedo
1:10,70,tomiso9001,TomISO9001,confuso,1.0,"Ué, que milagre é esse?"
1:11,71,zenith_2xko,zenith_2xko,positivo,1.0,Salve
1:12,72,matheusbernardo_,matheusbernardo_,positivo,1.0,bom dia
1:13,73,natie_martins,natie_martins,confuso,1.0,Baka voltou?????
1:15,75,lokky_sc,lokky_sc,engraçado,0.667,seloko ele ta fazendo live mesmo quem duvidou fala 10 kkkk
1:16,76,tomiso9001,TomISO9001,confuso,1.0,E logo aqui???
1:17,77,leeticiaye,leeticiaye,confuso,1.0,voltou pro japão baka??
1:19,79,veigazcarlos,veigazcarlos,positivo,1.0,Bom diiaa
1:21,81,doispontos_rams,doispontos_rams,confuso,1.0,Ja pode sacar pra fora?
1:23,83,riperoso,Riperoso,neutro,1.0,"Aaahhh quer fechar negocio nao, pega na mao do homem"
1:25,85,mmjadv,mmjadv,frustrado,1.0,Nao tankou o BR
1:25,85,gold_01252,gold_01252,neutro,1.0,Opaaaaa
1:25,85,zenith_2xko,zenith_2xko,neutro,1.0,31 de outubro chegando.....
1:25,85,yukizinhojp,yukizinhojp,neutro,1.0,buenos días meus nobres 🤌🏼🎌🎌🎌
1:26,86,atereza01,atereza01,confuso,1.0,"gente o baka voltou pro jp??? eu não vi a live passada dele, só vi o título e não entendi"
1:27,87,senhorley,senhorley,positivo,1.0,"Boa manhã, boa tarde, boa noite e boa madrugada senhor baka"
1:27,87,nissangtrturbo,nissangtrturbo,confuso,1.0,Milagre?
1:28,88,natie_martins,natie_martins,neutro,1.0,10
1:29,89,gold_01252,gold_01252,neutro,1.0,Aooooooo
1:30,90,pogolele,pogolele,positivo,1.0,eu gosto de comer coco
1:30,90,yurifukuhara,yurifukuhara,confuso,1.0,JÁ voltou man???
1:31,91,lucioleal_,lucioleal_,engraçado,1.0,Teremos a Julynha Brinquedos
1:39,99,yumemorreu,yumemorreu,neutro,1.0,fala seu noia
1:42,102,pskaren,pskaren,positivo,1.0,bom diaa pra todo mundo menos pro baka
1:47,107,x666alucard,X666Alucard,neutro,1.0,AGITA
1:47,107,ojuarameteuodedo,OJUARAmeteuOdedo,neutro,1.0,Baka perdeu de dá uma mamada no leo quando ele tava por la
1:49,109,jambinho25,jambinho25,neutro,1.0,Música do cowboy bebop...
1:52,112,zulbaka,zulbaka,neutro,1.0,Aeee cheguei na hora karai
1:53,113,joaov2512,joaov2512,confuso,1.0,"Ué, ele não estava no Brasil, sendo brasileiro raiz???????"
