timestamp,offset_segundos,usuario,nome,sentimento,confianca,comentario
0:40,40,lucasaerolito,lucasaerolito,neutro,1.0,alo
0:41,41,ratazanasulista,ratazanasulista,neutro,1.0,Eaeeeee baka
0:42,42,kise_ryota__,Kise_Ryota__,neutro,1.0,tá precisando de grana mesmo hein
0:44,44,cflc5,cflc5,neutro,1.0,Peidos
0:44,44,nushikou,nushikou,neutro,1.0,sé loko
0:45,45,vieira030,vieira030,neutro,1.0,receba desune
0:47,47,sumydaogg,sumydaogg,engraçado,1.0,primeiro
0:47,47,m4nnuz1,m4nnuz1,positivo,1.0,Boa noite
0:47,47,anainabsentia,anainabsentia,neutro,1.0,oieee
0:49,49,kthyosu,kthyosu,neutro,1.0,aoba
0:49,49,dmelosh,dmelosh,neutro,1.0,Aoba
0:51,51,breelays,breelays,confuso,1.0,baka voltou pro Japão?
0:54,54,tlguske,TLguske,engraçado,1.0,VAI CORINTHIANS
0:54,54,gsaimons,GSaimons,neutro,1.0,Eae baka
0:54,54,ddingo000,ddingo000,positivo,1.0,Boa tarde
0:55,55,dmelosh,dmelosh,positivo,1.0,Bom dia
0:59,59,smilinguizinho,Smilinguizinho,neutro,1.0,olá
0:59,59,morttusdornitska,morttusdornitska,negativo,1.0,quem é lixo sempre aparece
1:00,60,ddingo000,ddingo000,neutro,1.0,ddingo000 watched 3 consecutive streams and sparked a watch streak!
1:00,60,znagiii__,zNagiii__,neutro,1.0,lilica6Dance1 lilica6Dance1 lilica6Dance1
1:05,65,doists,doists,positivo,1.0,bom dia … sim tô no Japão
1:06,66,lanadka,Lanadka,neutro,1.0,LaLaLa
1:08,68,dvco,dvco,neutro,1.0,@breelays to desatualizado da lore também
1:09,69,hamtarocomunista,hamtarocomunista,neutro,1.0,Fala Baka!
1:11,71,krysagi,krysagi,neutro,1.0,bakagaLovebeco
1:13,73,liiaay01,liiaay01,positivo,1.0,Boa noiteee
1:16,76,r_lira28,r_lira28,confuso,1.0,Tá Liberado?? Tá liberado esgurmar??
1:16,76,anainabsentia,anainabsentia,confuso,1.0,Ainda no Japão ?
1:17,77,debbyznha,debbyznha,neutro,1.0,eba
1:19,79,kuzuri01_,kuzuri01_,positivo,1.0,Boa tarde comunidade nicho
1:19,79,nowaygabi,nowaygabi,neutro,1.0,Aoba
1:20,80,vinizinlm,vinizinlm,neutro,1.0,peida
1:26,86,pedepanomttriste,PeDePanoMtTriste,neutro,1.0,Aoba
1:26,86,palhaco7,palhaco7,neutro,1.0,Oi pipoca
1:27,87,ph_dsg,PH_dsg,engraçado,1.0,sommelier de beco mais querido de toda indústria
1:27,87,breelays,breelays,engraçado,0.5,@dvco triste
1:30,90,ratazanasulista,ratazanasulista,engraçado,1.0,Kappa
1:30,90,rofefps,Rofefps,neutro,1.0,Surra de bunsa
